,type,city,latitude,longitude,price_range,rating,votes,photo_count,delivery,area,chain_restaurant,indian,asian,western,middle_eastern,fast_food,others,highlights_count
0,Quick Bites,Agra,27.21145,78.00238056,2,4.4,814,154,0,240928,1,1,0,0,0,1,1,8
1,Quick Bites,Agra,27.1605689,78.0115831,2,4.4,1203,161,0,240928,0,1,1,0,0,1,0,7
2,Quick Bites,Agra,27.18293767,77.97968365,1,4.2,801,107,1,240928,1,0,0,0,0,1,0,14
3,Quick Bites,Agra,27.20566794,78.00479852,1,4.3,693,157,1,240928,1,1,0,0,0,1,1,11
4,Casual Dining,Agra,27.1577095,78.0524211,3,4.9,470,291,1,240928,0,1,0,1,0,0,0,27
5,Quick Bites,Agra,27.20151564,78.00755583,2,4.0,707,62,0,240928,1,0,0,0,0,1,0,12
6,Quick Bites,Agra,27.22217513,78.01017366,2,4.2,647,46,1,240928,0,1,1,0,0,1,0,9
7,Quick Bites,Agra,27.20393,77.95426,2,3.8,617,18,0,240928,1,0,0,0,0,1,0,10
8,Café/Bakery,Agra,27.2041478,78.0090248,2,3.4,322,14,1,240928,1,0,0,0,0,1,1,4
9,Café/Bakery,Agra,27.15824318,78.04559089,3,4.4,289,324,1,240928,0,0,1,1,0,0,1,15
10,Casual Dining,Agra,27.1900415,78.024693,3,4.4,683,229,1,240928,0,1,1,0,0,0,0,14
11,Casual Dining,Agra,27.15854865,78.04522712,2,4.4,523,162,1,240928,1,1,0,0,0,1,1,12
12,Casual Dining,Agra,27.16137213,78.03489994,2,4.1,626,99,0,240928,1,0,0,1,0,1,0,17
13,Quick Bites,Agra,27.195836,77.998213,1,4.1,361,9,1,240928,0,1,0,0,0,0,0,7
14,Casual Dining,Agra,27.19960568,78.00452828,2,4.1,474,52,1,240928,0,1,1,0,0,0,1,8
15,Quick Bites,Agra,27.21294252,78.02654894,2,3.5,490,17,0,240928,1,0,0,0,0,1,0,11
16,Casual Dining,Agra,27.20173481,78.00762456,4,4.6,915,105,1,240928,0,1,1,0,0,0,0,11
17,Quick Bites,Agra,27.20136565,78.00874572,2,4.3,837,45,0,240928,0,0,0,0,0,1,0,10
18,Casual Dining,Agra,27.1620096,78.03799622,2,4.1,362,86,0,240928,0,1,1,0,0,1,1,10
19,Quick Bites,Agra,27.1971028,77.9981701,1,4.4,490,77,1,240928,0,0,0,0,0,1,1,7
20,Quick Bites,Agra,27.21911438,78.00850466,1,3.9,417,52,1,240928,1,1,1,0,0,1,1,12
21,Casual Dining,Agra,27.20315272,77.95548309,2,3.9,376,54,1,240928,1,0,0,1,0,1,0,13
22,Casual Dining,Agra,27.15964852,78.04330364,4,4.6,965,690,1,240928,0,1,1,0,0,0,0,15
23,Casual Dining,Agra,27.2081417,77.9785856,1,4.2,237,3,1,240928,0,1,0,0,0,0,0,9
24,Quick Bites,Agra,27.19619778,77.99853019,1,4.1,402,14,1,240928,0,1,0,0,0,0,0,6
25,Casual Dining,Agra,27.19575852,77.9983639,2,4.3,514,109,1,240928,0,0,0,0,0,0,0,7
26,Casual Dining,Agra,27.20173422,78.0078502,2,3.9,410,61,1,240928,1,0,0,1,0,1,0,13
27,Casual Dining,Agra,27.1995729,78.0036987,4,4.3,672,192,1,240928,0,1,0,1,0,0,0,17
28,Quick Bites,Agra,27.16362,78.01485,2,3.6,433,26,0,240928,1,0,0,0,0,1,0,8
29,Bar,Agra,27.201117,78.008512,2,4.5,406,235,0,240928,0,1,1,0,0,0,0,7
30,Quick Bites,Agra,27.17979412,78.01602423,1,3.9,384,10,0,240928,0,1,1,0,0,0,0,4
31,Quick Bites,Agra,27.20151176,78.00784651,2,4.2,381,51,1,240928,0,1,0,0,0,0,0,8
32,Café/Bakery,Agra,27.2062971,77.95316022,1,4.0,266,22,1,240928,0,1,0,0,0,1,0,10
33,Quick Bites,Agra,27.210987,77.999079,2,4.1,322,47,1,240928,1,0,0,0,0,1,1,9
34,Casual Dining,Agra,27.1610034,78.0314,4,4.6,344,267,0,240928,0,1,1,1,0,1,0,13
35,Quick Bites,Agra,27.195768,77.998546,1,4.0,167,4,1,240928,0,1,0,0,0,0,0,5
36,Casual Dining,Agra,27.16661188,78.03673142,3,4.7,711,499,0,240928,0,1,1,1,0,0,0,14
37,Quick Bites,Agra,27.1827482,78.0166736,1,4.0,274,5,1,240928,0,1,0,0,0,1,0,7
38,Quick Bites,Agra,27.2141487,78.0261897,1,4.2,213,50,1,240928,0,0,1,0,0,1,0,3
39,Quick Bites,Agra,27.188102,77.9866675,2,4.2,341,32,1,240928,0,1,0,0,0,0,0,11
40,Casual Dining,Agra,27.15779004,78.04731321,3,4.2,508,210,1,240928,1,1,0,0,0,0,0,12
